Mods count: 158
 
jar name                                                                               | mod id (isMCreator)                                      | mixin configs
            /META-INF/jars/core-3.6.6.jar                                              | com_electronwill_night-config_core                       | 
            /META-INF/jars/porting_lib_attributes-2.3.12+1.20.1.jar                    | porting_lib_attributes                                   | porting_lib_attributes.mixins.json
            /META-INF/jars/porting_lib_transfer-2.3.12+1.20.1.jar                      | porting_lib_transfer                                     | porting_lib_transfer.mixins.json
        /META-INF/jars/flywheel-fabric-1.20.1-1.0.0-215.jar                            | flywheel                                                 | flywheel.impl.mixins.json, flywheel.impl.sodium.mixins.json, flywheel.backend.mixins.json, flywheel.impl.fabric.mixins.json
        /META-INF/jars/forgeconfigapiport-fabric-8.0.0.jar                             | forgeconfigapiport                                       | forgeconfigapiport.common.mixins.json
        /META-INF/jars/javax.annotation-api-1.3.2.jar                                  | javax_annotation_javax_annotation-api                    | 
        /META-INF/jars/jsr305-3.0.2.jar                                                | com_google_code_findbugs_jsr305                          | 
    /META-INF/jars/Registrate-1.3.79-MC1.20.1.jar                                      | registrate-fabric                                        | registrate-fabric.mixins.json
        /META-INF/jars/data-2.1.1090+1.20.jar                                          | porting_lib_data                                         | porting_lib_data.mixins.json
            /META-INF/jars/porting_lib_utility-2.1.1090+1.20.jar                       | porting_lib_utility                                      | 
            /META-INF/jars/porting_lib_gametest-2.1.1090+1.20.jar                      | porting_lib_gametest                                     | porting_lib_gametest.mixins.json
            /META-INF/jars/porting_lib_core-2.1.1090+1.20.jar                          | porting_lib_core                                         | 
        /META-INF/jars/fabric-data-generation-api-v1-12.2.0+6c31357e77.jar             | fabric-data-generation-api-v1                            | fabric-data-generation-api-v1.mixins.json, fabric-data-generation-api-v1.client.mixins.json
        /META-INF/jars/jsr305-3.0.2.jar                                                | com_google_code_findbugs_jsr305                          | 
        /META-INF/jars/model_generators-2.1.1090+1.20.jar                              | porting_lib_model_generators                             | porting_lib_model_generators.mixins.json
            /META-INF/jars/porting_lib_utility-2.1.1090+1.20.jar                       | porting_lib_utility                                      | 
            /META-INF/jars/porting_lib_model_materials-2.1.1090+1.20.jar               | porting_lib_model_materials                              | porting_lib_model_materials.mixins.json
            /META-INF/jars/porting_lib_gametest-2.1.1090+1.20.jar                      | porting_lib_gametest                                     | porting_lib_gametest.mixins.json
            /META-INF/jars/porting_lib_core-2.1.1090+1.20.jar                          | porting_lib_core                                         | 
            /META-INF/jars/porting_lib_data-2.1.1090+1.20.jar                          | porting_lib_data                                         | porting_lib_data.mixins.json
        /META-INF/jars/tags-2.1.1090+1.20.jar                                          | porting_lib_tags                                         | porting_lib_tags.mixins.json
            /META-INF/jars/porting_lib_gametest-2.1.1090+1.20.jar                      | porting_lib_gametest                                     | porting_lib_gametest.mixins.json
            /META-INF/jars/porting_lib_core-2.1.1090+1.20.jar                          | porting_lib_core                                         | 
    /META-INF/jars/accessors-2.3.13+1.20.1.jar                                         | porting_lib_accessors                                    | porting_lib_accessors.mixins.json
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
    /META-INF/jars/base-2.3.13+1.20.1.jar                                              | porting_lib_base                                         | porting_lib_base.mixins.json
        /META-INF/jars/porting_lib_tool_actions-2.3.13+1.20.1.jar                      | porting_lib_tool_actions                                 | porting_lib_tool_actions.mixins.json
        /META-INF/jars/porting_lib_accessors-2.3.13+1.20.1.jar                         | porting_lib_accessors                                    | porting_lib_accessors.mixins.json
        /META-INF/jars/toml-3.6.6.jar                                                  | com_electronwill_night-config_toml                       | 
        /META-INF/jars/porting_lib_tags-2.3.13+1.20.1.jar                              | porting_lib_tags                                         | porting_lib_tags.mixins.json
        /META-INF/jars/reach-entity-attributes-2.4.0.jar                               | reach-entity-attributes                                  | mixins.reach-entity-attributes.json
        /META-INF/jars/porting_lib_fluids-2.3.13+1.20.1.jar                            | porting_lib_fluids                                       | porting_lib_fluids.mixins.json
        /META-INF/jars/porting_lib_lazy_registration-2.3.13+1.20.1.jar                 | porting_lib_lazy_registration                            | 
        /META-INF/jars/porting_lib_core-2.3.13+1.20.1.jar                              | porting_lib_core                                         | 
        /META-INF/jars/porting_lib_utility-2.3.13+1.20.1.jar                           | porting_lib_utility                                      | 
        /META-INF/jars/porting_lib_entity-2.3.13+1.20.1.jar                            | porting_lib_entity                                       | porting_lib_entity.mixins.json
